"county_name","county_stops_total","count_arrests_total","asian/pacific islander","black","hispanic","other","unknown","white"
"Haywood County",82219,582,0.00515463917525773,0.0532646048109966,0.0893470790378007,0.0309278350515464,0,0.821305841924399
"Henderson County",109140,949,0.00210748155953635,0.0853530031612223,0.158061116965227,0.00210748155953635,0.00316122233930453,0.749209694415174
"Hertford County",5486,72,0,0.680555555555556,0.138888888888889,0,0,0.180555555555556
"Hoke County",50703,268,0.00373134328358209,0.399253731343284,0.149253731343284,0.123134328358209,0.0149253731343284,0.309701492537313
"Hyde County",3356,33,0,0.0606060606060606,0.121212121212121,0,0,0.818181818181818
"Iredell County",150105,1726,0.00579374275782155,0.267091541135574,0.0799536500579374,0.00231749710312862,0.00289687137891078,0.641946697566628
"Jackson County",15506,227,0.00881057268722467,0.0616740088105727,0.066079295154185,0.092511013215859,0,0.770925110132159
"Johnston County",164246,3516,0.00284414106939704,0.316268486916951,0.224971558589306,0.00312855517633675,0.00398179749715586,0.448805460750853
"Jones County",38986,706,0,0.286118980169972,0.178470254957507,0.0028328611898017,0.00708215297450425,0.525495750708215
"Lee County",74143,717,0.00139470013947001,0.379358437935844,0.192468619246862,0.00418410041841004,0.00697350069735007,0.415620641562064
"Lenoir County",29173,434,0.00230414746543779,0.585253456221198,0.117511520737327,0,0.00230414746543779,0.292626728110599
"Lincoln County",27070,505,0,0.148514851485149,0.134653465346535,0,0.00594059405940594,0.710891089108911
"Macon County",13092,89,0,0.0449438202247191,0.168539325842697,0,0,0.786516853932584
"Madison County",13653,54,0,0.0555555555555556,0.0555555555555556,0,0,0.888888888888889
"Martin County",78096,873,0.00343642611683849,0.469644902634593,0.11454753722795,0.00229095074455899,0.00916380297823597,0.400916380297824
"McDowell County",60242,416,0,0.103365384615385,0.103365384615385,0.00240384615384615,0.00480769230769231,0.786057692307692
"Mecklenburg County",1050313,21887,0.0128386713574268,0.555900763010006,0.121716087175035,0.00100516288207612,0.00630511262393201,0.302234202951524
"Mitchell County",4332,67,0,0.0149253731343284,0.134328358208955,0.0149253731343284,0,0.835820895522388
"Montgomery County",49053,652,0.0214723926380368,0.271472392638037,0.107361963190184,0.00460122699386503,0.0107361963190184,0.584355828220859
"Moore County",40001,799,0.00375469336670839,0.339173967459324,0.0413016270337922,0.0100125156445557,0.00500625782227785,0.600750938673342
"Nash County",32825,519,0.00192678227360308,0.574181117533719,0.0789980732177264,0.00963391136801541,0,0.335260115606936
"New Hanover County",143375,3441,0.004649811101424,0.269979657076431,0.0560883464109271,0.003487358326068,0.001743679163034,0.664051147922116
"Northampton County",7532,110,0,0.790909090909091,0.00909090909090909,0,0,0.2
"Onslow County",181493,5725,0.00733624454148472,0.386375545851528,0.0787772925764192,0.00314410480349345,0.00768558951965066,0.516681222707424
"Orange County",102591,1567,0.024888321633695,0.363752393107849,0.125079770261646,0.00319081046585833,0.00255264837268666,0.480536056158264
"Pamlico County",5156,203,0.00492610837438424,0.187192118226601,0.0197044334975369,0,0.0147783251231527,0.773399014778325
"Pasquotank County",42334,389,0.0051413881748072,0.526992287917738,0.0745501285347044,0.0025706940874036,0.0051413881748072,0.38560411311054
"Pender County",21036,414,0.00241545893719807,0.154589371980676,0.0869565217391304,0.00241545893719807,0,0.753623188405797
"Perquimans County",11102,24,0,0.291666666666667,0.166666666666667,0,0,0.541666666666667
"Person County",9706,192,0,0.447916666666667,0.0833333333333333,0,0.00520833333333333,0.463541666666667
"Pitt County",105354,1638,0.00244200244200244,0.556776556776557,0.0555555555555556,0.00183150183150183,0.00549450549450549,0.377899877899878
"Polk County",12777,172,0,0.104651162790698,0.063953488372093,0,0,0.831395348837209
"Randolph County",134541,1318,0.00379362670713202,0.170713201820941,0.18361153262519,0.00227617602427921,0.00910470409711684,0.630500758725341
"Richmond County",46743,1090,0,0.440366972477064,0.108256880733945,0.0761467889908257,0.0018348623853211,0.373394495412844
"Robeson County",130394,1770,0.00225988700564972,0.340677966101695,0.124858757062147,0.356497175141243,0.00564971751412429,0.170056497175141
"Rockingham County",92932,1726,0.00231749710312862,0.329663962920046,0.0996523754345307,0.000579374275782155,0.00173812282734647,0.566048667439166
"Rowan County",125372,1187,0.0016849199663016,0.288121314237574,0.0834035383319292,0.0025273799494524,0.0067396798652064,0.617523167649537
"Rutherford County",23645,413,0.00242130750605327,0.179176755447942,0.036319612590799,0.00484261501210654,0.0121065375302663,0.765133171912833
"Sampson County",59572,930,0.0010752688172043,0.258064516129032,0.447311827956989,0.00537634408602151,0.0387096774193548,0.249462365591398
"Scotland County",9681,164,0,0.542682926829268,0.0365853658536585,0.152439024390244,0,0.268292682926829
"Stanly County",35047,464,0.0107758620689655,0.357758620689655,0.0538793103448276,0.0021551724137931,0.00431034482758621,0.571120689655172
"Stokes County",66903,657,0.0015220700152207,0.091324200913242,0.0989345509893455,0,0.0091324200913242,0.799086757990868
"Surry County",43791,755,0,0.135099337748344,0.105960264900662,0,0,0.758940397350993
"Swain County",6898,161,0.0062111801242236,0.031055900621118,0.062111801242236,0.186335403726708,0,0.714285714285714
"Transylvania County",7279,115,0.00869565217391304,0.0173913043478261,0.0782608695652174,0,0,0.895652173913044
"Tyrell County",13866,142,0.0140845070422535,0.232394366197183,0.140845070422535,0,0.00704225352112676,0.605633802816901
"Union County",76699,1058,0.00189035916824197,0.330812854442344,0.137996219281664,0.00472589792060491,0.000945179584120983,0.523629489603025
"Vance County",29414,699,0.00143061516452074,0.650929899856938,0.0829756795422032,0.00286123032904149,0.00858369098712446,0.253218884120172
"Wake County",957740,16323,0.0117012804018869,0.420449672241622,0.131348404092385,0.00214421368620964,0.00637137781045151,0.427985051767445
"Warren County",6536,68,0,0.573529411764706,0.147058823529412,0.0147058823529412,0,0.264705882352941
"Washington County",7218,137,0,0.635036496350365,0.0291970802919708,0,0,0.335766423357664
"Watauga County",34960,448,0.00223214285714286,0.046875,0.0424107142857143,0,0,0.908482142857143
"Wayne County",99706,3350,0.00447761194029851,0.503283582089552,0.141492537313433,0.00358208955223881,0.00537313432835821,0.341791044776119
"Wilkes County",47459,361,0.00277008310249307,0.132963988919668,0.116343490304709,0,0,0.74792243767313
"Wilson County",67687,3256,0.00122850122850123,0.689496314496315,0.105958230958231,0.000307125307125307,0.00122850122850123,0.201781326781327
"Yadkin County",11717,143,0.00699300699300699,0.13986013986014,0.181818181818182,0,0.020979020979021,0.65034965034965
"Yancey County",5672,66,0,0.0151515151515152,0.106060606060606,0,0,0.878787878787879
NA,2603,3,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
