INDX_NR,SPECIES_ID,SPECIES
922546,1C2105,Big brown bat
866545,N5111,Killdeer
922526,UNKBM,Unknown bird - medium
994699,UNKB,Unknown bird
922202,T1002,Chimney swift
922381,T1002,Chimney swift
994723,UNKBS,Unknown bird - small
866387,YL001,European starling
1020363,UNKBS,Unknown bird - small
973976,UNKBS,Unknown bird - small
866315,YI009,Cliff swallow
922278,T1,Swifts
922160,UNKB,Unknown bird
866131,N5111,Killdeer
986915,T1002,Chimney swift
921688,N5111,Killdeer
921649,NE1,Gulls
987643,UNKBS,Unknown bird - small
921698,UNKB,Unknown bird
921316,T1002,Chimney swift
921600,N5111,Killdeer
910863,ZT001,Eastern meadowlark
910767,UNKB,Unknown bird
910782,YI,Swallows
910744,UNKBS,Unknown bird - small
910742,UNKBS,Unknown bird - small
910683,UNKB,Unknown bird
910391,UNKBS,Unknown bird - small
992123,UNKBS,Unknown bird - small
992113,UNKB,Unknown bird
910217,YI001,Purple martin
921052,ZT104,Brown-headed cowbird
971732,YI001,Purple martin
909717,T1002,Chimney swift
986362,UNKBM,Unknown bird - medium
909350,J2204,Canada goose
992073,UNKB,Unknown bird
971733,YI005,Barn swallow
864792,N5111,Killdeer
864794,K5114,American kestrel
976191,UNKB,Unknown bird
908513,YI005,Barn swallow
898292,X6105,Downy woodpecker
921386,YL001,European starling
992052,UNKB,Unknown bird
975996,UNKB,Unknown bird
897846,UNKBS,Unknown bird - small
897856,YL001,European starling
897634,UNKB,Unknown bird
897726,YH004,Horned lark
895640,O2205,Mourning dove
975956,UNKB,Unknown bird
992045,UNKB,Unknown bird
975891,UNKB,Unknown bird
897196,UNKBM,Unknown bird - medium
897233,YI005,Barn swallow
864025,YI005,Barn swallow
994337,UNKB,Unknown bird
994614,UNKBS,Unknown bird - small
949121,O2111,Rock pigeon
897890,O2205,Mourning dove
896625,YI005,Barn swallow
864008,ZX3,Sparrows
896651,ZX3,Sparrows
992039,UNKB,Unknown bird
992038,UNKB,Unknown bird
895427,UNKB,Unknown bird
863792,YL001,European starling
863739,YL001,European starling
894985,UNKBS,Unknown bird - small
863722,YI010,Tree swallow
894933,YI005,Barn swallow
894935,K1001,Black vulture
894930,UNKBS,Unknown bird - small
896218,YI005,Barn swallow
910536,UNKBS,Unknown bird - small
910562,UNKB,Unknown bird
946197,UNKBS,Unknown bird - small
863650,UNKBM,Unknown bird - medium
994580,UNKBS,Unknown bird - small
910206,1C2105,Big brown bat
993577,UNKBS,Unknown bird - small
843428,O2205,Mourning dove
843429,ZT001,Eastern meadowlark
843401,N5111,Killdeer
995159,UNKBS,Unknown bird - small
993576,O2205,Mourning dove
909233,K1002,Turkey vulture
972994,YI005,Barn swallow
909680,O2111,Rock pigeon
843119,N5111,Killdeer
909675,YI005,Barn swallow
991763,YI005,Barn swallow
843006,YM11,Crows
909050,YI009,Cliff swallow
909041,1C2101,Eastern red bat
842976,YL001,European starling
909037,YI009,Cliff swallow
842977,2A,Turtles
908917,UNKB,Unknown bird
993564,UNKBS,Unknown bird - small
994504,UNKB,Unknown bird
909060,UNKBS,Unknown bird - small
908733,YI009,Cliff swallow
949136,UNKBM,Unknown bird - medium
898067,YL001,European starling
991871,ZX3,Sparrows
898002,UNKBS,Unknown bird - small
970889,NE114,Laughing gull
842187,ZT301,Common grackle
909155,UNKBS,Unknown bird - small
842165,N5111,Killdeer
842186,YI005,Barn swallow
975471,YI009,Cliff swallow
