INDX_NR,INCIDENT_DATE ,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,RUNWAY,STATE,FAAREGION,LOCATION,ENROUTE STATE,OPID,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,OTHER_COST,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED,INDICATED_DAMAGE,DAMAGE_LEVEL,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SPECIES_ID,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,BIRDS_SEEN,BIRDS_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENT,REPORTER_NAME,REPORTER_TITLE,SOURCE,PERSON,LUPDATE,TRANSFER
634514,1999-10-11,10,1999,20:41,Night,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36L,NC,ASO ,,,USA, N630AU, ,B-757-200,148,26.0,37.0,37.0,A  ,4.0,D,2.0,1.0,1.0,,,Approach,100.0,135.0,,Some Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,, None,,UNKBS,SML BIRD STRIKE ON BELLY. CAPT DID NOT INSPCT.,False,False,No, 1, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,2000-01-06,False
636089,1999-10-09,10,1999,     ,,KRDU,RALEIGH-DURHAM INTL, ,NC,ASO ,,,UAL, N315UA, ,B-737-300,148,24.0,10.0,1.0,A  ,4.0,D,2.0,1.0,1.0,,,Approach,,,,,,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,UNKBM,HIT NOSE GEAR STEERING MECHANISM.,False,False,Unknown, , 1,Medium,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,2000-01-05,False
632305,1999-10-04,10,1999,     ,Dusk,KRDU,RALEIGH-DURHAM INTL, 23R,NC,ASO ,,,MEP, N80ME, ,DC-9-10,583,19.0,34.0,10.0,A  ,4.0,D,2.0,5.0,5.0,,,Approach,50.0,137.0,,Some Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,, None,,J2204,ATIS WARNING. RT WING & FLAP,False,False,No, 2-10, 2-10,Large,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Airport Operations,2000-01-03,False
633580,1999-10-03,10,1999,     ,Day,KRDU,RALEIGH-DURHAM INTL, 23R,NC,ASO ,,,BUS, N18BR, ,BE-400 BJET,123,32.0,31.0,1.0,A  ,2.0,D,2.0,5.0,5.0,,,Approach,400.0,120.0,,Some Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,, None,,UNKBM,,False,False,No, 1, 1,Medium,,,OPER = RAYTHEON /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Tower,2000-01-03,False
634501,1999-09-12,9,1999,     ,Day,KRDU,RALEIGH-DURHAM INTL, 5L,NC,ASO ,,,MDW, N572ML, ,CRJ100/200,188,10.0,22.0,4.0,A  ,3.0,D,2.0,5.0,5.0,,,Approach,100.0,145.0,,No Cloud, None,1.0,,,,,False,True,M,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,, None,,J2204,DENTS ON RHS FUSELAGE JUST BELOW COCKPIT WINDOW. 45 MINS TIME  LOST FOR INSPN.,False,False,Unknown, 11-100, 2-10,Large,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2001-03-20,False
633686,1999-09-01,9,1999,     ,Night,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36L,NC,ASO ,,,USA, N505AU, ,B-737-300,148,24.0,10.0,1.0,A  ,4.0,D,2.0,1.0,1.0,,,Approach,100.0,140.0,,No Cloud, None,,,,,,False,False,N,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,ZX3,FLT 1907,False,False,No, 1, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,1999-12-03,False
634354,1999-08-28,8,1999,     ,,KRDU,RALEIGH-DURHAM INTL, ,NC,ASO ,,,BLR, N634BR, ,CRJ100/200,188,10.0,22.0,4.0,A  ,3.0,D,2.0,5.0,5.0,,,Approach,400.0,,,,,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,UNKBM,RT WING ROOT. NO DMG.,False,False,Unknown, 1, 1,Medium,,,SOURCE = TWO AIRLINE REPTS /Legacy Record=XXXXXX/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,2001-06-25,False
632856,1999-08-26,8,1999,     ,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 23,NC,ASO ,,,CDL, N881CC, ,DHC8 DASH 8,303,10.0,31.0,10.0,A  ,3.0,C,2.0,4.0,4.0,,,Approach,10.0,105.0,,No Cloud, None,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,O2205,"NOTAM WARNING. REPTD AS DOVE, ASSUME MOURNING.",False,False,Yes, 11-100, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2005-03-10,False
636112,1999-08-24,8,1999,     ,,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, ,NC,ASO ,,,USA, , ,B-757-200,148,26.0,37.0,,A  ,4.0,D,2.0,1.0,1.0,,,,,,,,,,,,,,True,True,M?,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,UNKBM,"INGESTION. ENG # NOT REPTD, ASSUME 1. # BIRDS NOT REPTD, ASSUME  1.",False,False,Unknown, , 1,Medium,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,Engine Manufacturer,Other,2005-02-24,False
629578,1999-08-23,8,1999,18:30,Day,KRDU,RALEIGH-DURHAM INTL, 5R,NC,ASO ,,,USA, N274US, ,B-737-200,148,13.0,34.0,10.0,A  ,4.0,D,2.0,1.0,1.0,,,Climb,900.0,160.0,,Some Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,UNKBM,ONLY INDICATION OF BIRD ENCUNTER WAS A FAMILIAR ODOR AFTER T/O.  NO BIRDS WERE SEEN. ALTITUDE WAS REPTD AS LESS THAN 1000.,False,False,No, , 1,Medium,,,INTERNET REPT XXX /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,1999-10-28,False
